Status,Ordertyp,WKN,Limit,Nom,ANom,Order_Value,Timestamp,JIM_Value,Spread_Prozentual,Target_Market_Count,Tradegate_Volume,Risk Score,Decision,Reasons,jim_risk,spread_risk,mp_risk,tgv_risk
Eingegeben,Limitiert,A3CSVE,0.515,"2,000",,1030.0,2026-04-14 09:25:01.5173,2009.196,0.0126,4.0,2009.672,2.6738375939849623,Automatic,All risk factors within automatic limits,0.412,1.3421947368421052,0,0.9196428571428572
Löschung wegen Timer,Limitiert,897725,4.16,250,,1040.0,2026-04-14 09:26:47.7367,0.0,0.0631,3.0,0.0,N/A,Error,'jim+tgv',N/A,N/A,N/A,N/A
Ausgeführt,Limitiert,A3CSVE,0.52,,"2,000",1040.0,2026-04-14 09:25:01.5173,2009.196,0.0126,4.0,2009.672,2.686766165413534,Automatic,All risk factors within automatic limits,0.416,1.3421947368421052,0,0.9285714285714286
Eingegeben,Limitiert,A3CSVE,0.52,"2,000",,1040.0,2026-04-14 09:25:01.5173,2009.196,0.0126,4.0,2009.672,2.686766165413534,Automatic,All risk factors within automatic limits,0.416,1.3421947368421052,0,0.9285714285714286
Eingegeben,Limitiert,A2PN0J,27.6,"1,088",,30028.800000000003,2026-04-14 09:30:58.3477,0.0,0.0455,1.0,0.0,N/A,Error,'jim+tgv',N/A,N/A,N/A,N/A
Eingegeben,Limitiert,853666,,250,,,2026-04-14 09:28:11.6392,9917.784,0.0094,4.0,9933.378,N/A,Error,cannot unpack non-iterable NoneType object,N/A,N/A,N/A,N/A
Eingegeben,Limitiert,922032,0.04,"15,000",,600.0,2026-04-14 09:29:02.4301,0.0,-0.8978,2.0,0.0,N/A,Error,'jim+tgv',N/A,N/A,N/A,N/A
Ausgeführt,Limitiert,882017,103,,100,10300.0,2026-04-14 09:23:41.7154,14258.88,0.0054,4.0,8481.3,16.764123530721953,Automatic,All risk factors within automatic limits,6.224123530721954,0.54,0,10
Eingegeben,Limitiert,A2QBBR,1.42,"2,015",,2861.2999999999997,2026-04-14 09:28:46.5790,0.0,0.014,3.0,0.0,N/A,Error,'jim+tgv',N/A,N/A,N/A,N/A
Eingegeben,Limitiert,897725,4.16,250,,1040.0,2026-04-14 09:26:47.7367,0.0,0.0631,3.0,0.0,N/A,Error,'jim+tgv',N/A,N/A,N/A,N/A
Ausgeführt,Limitiert,863186,359.6,,120,43152.0,2026-04-14 09:29:27.1468,41710.4,0.0005,5.0,41940.0,N/A,Error,'jim+tgv',N/A,N/A,N/A,N/A
Eingegeben,Limitiert,863186,359.6,120,,43152.0,2026-04-14 09:29:27.1468,41710.4,0.0005,5.0,41940.0,N/A,Error,'jim+tgv',N/A,N/A,N/A,N/A
