WKN_Id;WKN;Timestamp;JIM_Value;Target_Market_Count;Present_Markets;Spread_Absolut;Spread_Prozentual;Best_Bid;Best Ask;Tradegate_Volume
495656;A0M9QW;2026-04-14 09:23:00.5666;0.0;2;['LS1', 'F'];0.025;0.0281;0.89;0.915;0.0
956341;A0NDYN;2026-04-14 09:23:00.6706;0.0;3;['F', 'LS1', 'BB1'];0.15;0.0133;11.25;11.4;0.0
1966036;A0RK8D;2026-04-14 09:23:00.7756;0.0;3;['LS1', 'F', 'BB1'];0.8;0.0081;99.1;99.9;0.0
3179180;910288;2026-04-14 09:23:00.8758;0.0;1;['LS1'];0.02;0.0169;1.18;1.2;0.0
519520;909765;2026-04-14 09:23:00.9747;10337.25;5;['F', 'TG', 'LS1', 'BB1', 'SC1'];0.15;0.0026;57.75;57.9;10395.0
294228;A1C7HA;2026-04-14 09:23:01.0481;9941.6;4;['F', 'LS1', 'TG', 'SC1'];0.08;0.0023;34.4;34.48;9976.0
220929;A1C8J5;2026-04-14 09:23:01.1497;0.0;4;['LS1', 'SC1', 'F', 'BB1'];0.15;0.0036;41.55;41.7;0.0
341045;A1H5AN;2026-04-14 09:23:01.2451;10041.8;4;['TG', 'F', 'LS1', 'SC1'];0.3;0.0018;170.2;170.5;10212.0
1179451;A1W7Q9;2026-04-14 09:23:01.3390;0.0;2;['LS1', 'F'];0.011;0.0351;0.313;0.324;0.0
3033500;A1JTWD;2026-04-14 09:23:01.4383;0.0;3;['F', 'LS1', 'BB1'];0.6;0.0149;40.4;41.0;0.0
111430;A1J1DR;2026-04-14 09:23:01.4701;10079.85;5;['TG', 'F', 'LS1', 'SC1', 'DE'];0.1;0.0015;67.65;67.75;10147.5
181234;A1JX9C;2026-04-14 09:23:01.5938;0.0;3;['LS1', 'F', 'BB1'];0.3;0.0141;21.3;21.6;0.0
1253052;A1W0FA;2026-04-14 09:23:01.6942;9238.152;3;['LS1', 'TG', 'F'];0.036;0.0194;1.852;1.888;9240.0
854788;A1W17J;2026-04-14 09:23:01.7855;0.0;1;['LS1'];0.026;0.437;0.0595;0.0855;0.0
1172201;A1W8RU;2026-04-14 09:23:01.8864;0.0;3;['LS1', 'F', 'BB1'];0.14;0.01;13.94;14.08;0.0
2265044;A1XAXT;2026-04-14 09:23:01.9906;0.0;2;['F', 'LS1'];0.1;0.009;11.05;11.15;0.0
2915811;A110SW;2026-04-14 09:23:02.0929;0.0;4;['LS1', 'SC1', 'F', 'BB1'];0.08;0.0063;12.74;12.82;0.0
1890943;A114V1;2026-04-14 09:23:02.1347;9966.6;4;['F', 'LS1', 'TG', 'SC1'];0.2;0.0068;29.35;29.55;9979.0
